Wavelength,Leaf Area,Leaf Count,Shoot Length,Biomass (dry),Biomass(Fresh),Photosynthetic Productivity
1,159.2,19,30,3.6,83,9
1,198.2,34,33,3.7,52.8,19.1
1,174.8,34,38,3.8,190,10.2
2,198.3,15,65,3.2,67,6.3
2,201.3,25,27,1.7,26.5,8.5
2,224.3,20,55,3.3,53,9.1
2,248.2,17,57,4.3,280,5.4
3,390.1,21,28,2.7,66,7.7
3,427.6,20,20,3,68.9,5
3,303,22,15.1,2.9,63.4,4.4
3,358.6,32,25,1.8,26.5,17
3,381.5,18,25,2.7,48,8.4
3,298.3,23,23,5.1,210,7.3
3,338.8,22,19,4,260,6.9
3,620.2,15.3,19,1.5,19.1,7.5
4,199.7,24,9.9,1.9,39.7,5.8
4,225.3,23,47,7.8,107,4.9
5,154.4,14,8,1.2,21.8,2.1
6,731.7,14.3,21.1,1.8,22.8,16.7
1,434,7.2,25,1.9,23.8,3.4
1,164,6,25,0.37,7.6,1.7
1,299,6.6,25,0.9,15.7,2.5
7,532,8.5,31,2,24.2,2.8
7,168,6.3,31,0.5,8.2,1.3
7,350,7.4,31,1,16.7,1.8
8,391,7,32,1.1,17.6,2.7
8,219,5.8,32,0.5,11,0.7
8,305,6.4,32,0.9,14.3,1.9
9,403,7,23,1.2,19.7,3
9,235,5.8,23,0.67,12.1,1.5
9,319,6.4,23,1,15.9,2.4
